Species	Comparison	Z	P.unadj	P.adj
Alistipes finegoldii	CD - NonIBD	-2.952815207062376	0.003148904036939192	0.009446712110817575
Alistipes finegoldii	CD - UC	-1.0737509843863184	0.2829343037511921	0.2829343037511921
Alistipes finegoldii	NonIBD - UC	1.8790642226760574	0.060235724560615614	0.09035358684092343
Bacteroides uniformis	CD - NonIBD	2.4041630560342617	0.01620954140922543	0.024314312113838145
Bacteroides uniformis	CD - UC	2.6870057685088806	0.007209570764742531	0.02162871229422759
Bacteroides uniformis	NonIBD - UC	0.28284271247461895	0.7772974107895216	0.7772974107895216
Coprococcus comes	CD - NonIBD	0	1	1
Coprococcus comes	CD - UC	-2.4615959346437313	0.013832040019046404	0.020748060028569604
Coprococcus comes	NonIBD - UC	-2.4615959346437313	0.013832040019046404	0.04149612005713921
Bacteroides fragilis	CD - NonIBD	1.0954451150103321	0.27332167829229814	0.27332167829229814
Bacteroides fragilis	CD - UC	2.6290682760247974	0.008561916896063827	0.02568575068819148
Bacteroides fragilis	NonIBD - UC	1.5336231610144653	0.12512238701328698	0.18768358051993048
Acidaminococcus intestini	CD - NonIBD	2.274501629859512	0.02293584321936613	0.034403764829049194
Acidaminococcus intestini	CD - UC	2.274501629859512	0.02293584321936613	0.06880752965809839
Acidaminococcus intestini	NonIBD - UC	0	1	1
Clostridium citroniae	CD - NonIBD	2.274501629859512	0.02293584321936613	0.034403764829049194
Clostridium citroniae	CD - UC	2.274501629859512	0.02293584321936613	0.06880752965809839
Clostridium citroniae	NonIBD - UC	0	1	1
Clostridium sp CAG 242	CD - NonIBD	2.274501629859512	0.02293584321936613	0.034403764829049194
Clostridium sp CAG 242	CD - UC	2.274501629859512	0.02293584321936613	0.06880752965809839
Clostridium sp CAG 242	NonIBD - UC	0	1	1
Bilophila wadsworthia	CD - NonIBD	2.086996778999804	0.03688842570704985	0.05533263856057478
Bilophila wadsworthia	CD - UC	2.161532378249797	0.03065423863287433	0.09196271589862298
Bilophila wadsworthia	NonIBD - UC	0.07453559924999305	0.9405842158297483	0.9405842158297483
